PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE,LEAGUE,SEASON
Brian Easton,Pre-Season,Defender,England,Burnley,Hamilton Academical,20000,EPL,09/10
Iaia Embarlo,Pre-Season,Attacker,Portugal,Liverpool,Oldham,30000,EPL,10/11
Matt Doherty,Pre-Season,Defender,Ireland,Wolverhampton,Bohemians,90000,EPL,10/11
Sascha Molders,Pre-Season,Attacker,Germany,FC Augsburg,FSV Frankfurt,125000,Bundesliga,11/12
Mariano Barbosa,Pre-Season,Goalkeeper,Argentina,Sevilla,Las Palmas,150000,La Liga,14/15
Hiroshi Ibusuki,Pre-Season,Attacker,Japan,Sevilla,Girona,150000,La Liga,11/12
Marvin Compper,Mid-Season,Defender,Germany,Fiorentina,Hoffenheim,200000,Serie A,12/13
Diego Marino,Pre-Season,Goalkeeper,Spain,Sporting Gijon,Levante,200000,La Liga,16/17
Salvador Agra,Mid-Season,Attacker,Portugal,Real Betis,Olhanense,200000,La Liga,11/12
Anthony Caceres,Mid-Season,Midfielder,Australia,Manchester City,Central Coast,200000,EPL,15/16
Alvaro Cejudo,Mid-Season,Midfielder,Spain,Osasuna,Las Palmas,240000,La Liga,10/11
Jack Grimmer,Mid-Season,Goalkeeper,Scotland,Fulham,Aberdeen,240000,EPL,11/12
Markus Feulner,Pre-Season,Midfielder,Germany,Nurnberg,Bor. Dortmund,250000,Bundesliga,11/12
Rhoys Wiggins,Mid-Season,Goalkeeper,England,Bournemouth,Sheffield Wed.,260000,EPL,15/16
Ruben Sobrino,Pre-Season,Attacker,Spain,Manchester City,Ponferradina,275000,EPL,15/16
Darnel Situ,Pre-Season,Defender,France,Swansea City,Lens,280000,EPL,11/12
Gelson Fernandes,Pre-Season,Midfielder,Switzerland,Freiburg,Sporting Lisbon,290000,Bundesliga,13/14
Kassim Abdallah,Mid-Season,Defender,Comoros,Evian,Marseille,300000,Ligue 1,13/14
Laszlo Kleinheisler,Mid-Season,Midfielder,Hungary,Werder Bremen,Videoton,300000,Bundesliga,15/16
Andrea Barzagli,Mid-Season,Defender,Italy,Juventus,Wolfsburg,300000,Serie A,10/11
Gary Mackay-Steven,Mid-Season,Midfielder,Scotland,Celtic,Dundee Utd,330000,SPL,14/15
Kris Commons,Mid-Season,Midfielder,England,Celtic,Derby,350000,SPL,10/11
Thiago Cionek,Mid-Season,Defender,Poland,Palermo,Modena,350000,Serie A,15/16
Diego Perotti,Pre-Season,Midfielder,Argentina,Genoa,Sevilla,350000,Serie A,14/15
Joan Capdevila,Pre-Season,Defender,Spain,Espanyol,Benfica,350000,La Liga,12/13
Hope Akpan,Mid-Season,Defender,England,Reading,Crawley,370000,EPL,12/13
Matt Phillips,Pre-Season,Midfielder,England,Blackpool,Wycombe,395000,EPL,10/11
Maxwel Cornet,Mid-Season,Attacker,France,Lyon,Metz,400000,Ligue 1,14/15
Dario Cvitanich,Pre-Season,Attacker,Argentina,Nice,Ajax,400000,Ligue 1,12/13
Juan Gonzalo Lorca,Mid-Season,Attacker,Chile,Boulogne,Colo Colo,400000,Ligue 1,09/10
James McClean,Pre-Season,Midfielder,Rep. of Ireland,Sunderland,Derry City,400000,EPL,11/12
Simone Verdi,Pre-Season,Midfielder,Italy,AC Milan,Torino,450000,Serie A,15/16
Kevin Malcuit,Pre-Season,Defender,France,Saint Etienne,Niort,500000,Ligue 1,15/16
Alassane Plea,Pre-Season,Midfielder,France,Nice,Lyon,500000,Ligue 1,14/15
Foued Kadir,Mid-Season,Midfielder,Algeria,Marseille,Valenciennes,500000,Ligue 1,12/13
John Verhoek,Mid-Season,Attacker,Netherlands,Rennes,Den Haag,500000,Ligue 1,10/11
Heinz Muller,Pre-Season,Midfielder,Germany,FSV Mainz,Barnsley,500000,Bundesliga,09/10
Mitchell Weiser,Pre-Season,Midfielder,Germany,Bayern Munich,Koln,500000,Bundesliga,12/13
Nikola Ninkovic,Mid-Season,Midfielder,Serbia,Genoa,Partizan Belgrade,500000,Serie A,15/16
Issa Cissokho,Pre-Season,Defender,Senegal,Genoa,Nantes,500000,Serie A,15/16
Marcus Rohden,Pre-Season,Midfielder,Sweden,Crotone,Elfsborg,500000,Serie A,16/17
Ilija Nestorovski,Pre-Season,Attacker,FYR Macedonia,Palermo,Inter Zapresic,500000,Serie A,16/17
Morgan De Sanctis,Pre-Season,Goalkeeper,Italy,Roma,Napoli,500000,Serie A,13/14
Vasilis Torosidis,Mid-Season,Defender,Greece,Roma,Olympiakos,500000,Serie A,12/13
Charles,Pre-Season,Attacker,Brazil,Malaga,Celta,500000,La Liga,15/16
