Air Serbia | BEG->TIV
	05:40-06:30 | 60
	14:00-14:50 | 65
	20:45-21:30 | 55
Lufthansa | FRA->LHR
	06:30-07:20 | 150
	09:05-09:50 | 155
Ryanair | TIV->CPH
	07:15-10:00 | 85
	12:00-14:00 | 90
Vueling | BEG->AMS
	09:05-10:25 | 145
	14:10-15:05 | 150
easyJet | LGW->BCN
	07:00-10:05 | 100
	11:40-13:30 | 110
Ryanair | TIV->PRG
	07:15-10:00 | 95
	12:00-14:00 | 110
Ryanair | AMS->PRG
	06:45-07:30 | 125
	12:30-13:15 | 130
	16:00-16:45 | 135
Turkish Airlines | IST->VIE
	07:25-09:05 | 160
	11:45-13:30 | 170
	17:05-18:40 | 165
Norwegian Air | BCN->TIV
	07:30-08:45 | 90
	09:25-10:15 | 95
	14:00-14:55 | 85
Lufthansa | CDG->CPH
	11:40-12:25 | 105
	14:50-15:45 | 110
Norwegian Air | OSL->CPH
	06:50-08:05 | 95
	13:50-15:00 | 100
Air Serbia | PRG->TIV
	07:50-09:15 | 150
	13:30-14:40 | 160
easyJet | BCN->CDG
	10:20-12:15 | 105
	15:10-17:00 | 110
Emirates | LHR->BEG
	08:05-09:00 | 130
	14:20-15:15 | 135
	18:00-19:00 | 140
Lufthansa | LHR->BEG
	07:15-08:00 | 145
	12:00-13:05 | 150
Ryanair | IST->VIE
	07:40-09:10 | 165
	11:55-13:45 | 160
Vueling | OSL->CPH
	08:45-09:30 | 85
	14:00-15:15 | 90
Norwegian Air | CPH->IST
	07:00-08:15 | 100
	14:30-15:50 | 95
Air France | AMS->PRG
	08:00-08:55 | 110
	12:30-13:15 | 115
Wizz Air | BEG->TIV
	07:40-08:30 | 60
	09:00-09:50 | 62
Turkish Airlines | FRA->LHR
	11:30-12:20 | 155
	16:05-16:50 | 160
Wizz Air | TIV->CPH
	09:15-11:00 | 90
	12:00-14:00 | 95
Emirates | LGW->BCN
	07:50-10:50 | 110
	13:10-15:00 | 115
Emirates | AMS->PRG
	08:45-09:30 | 130
	14:15-15:10 | 135
Air Serbia | BEG->AMS
	08:15-09:30 | 150
	14:10-15:00 | 155
Air Serbia | IST->VIE
	08:45-10:25 | 165
	15:45-17:30 | 175
Air France | CDG->CPH
	07:40-08:25 | 110
	09:50-10:45 | 115
Vueling | BCN->CDG
	07:30-08:45 | 95
	09:25-10:15 | 100
Lufthansa | OSL->CPH
	09:50-11:05 | 100
	15:50-17:00 | 105
Ryanair | LGW->BCN
	09:10-11:45 | 85
	14:00-16:30 | 90
easyJet | AMS->PRG
	09:50-10:35 | 130
	14:15-15:05 | 135
	18:00-18:45 | 140
Lufthansa | VIE->FRA
	07:15-08:00 | 150
	12:00-13:05 | 155
